date,mm-yyyy,ruta_venta,total_cajas,total_dinero,cantidad_de_ordenes,ofertas_aplicadas,sku_activados,cantidad_facturas_venta,sku_x_factura,ros_factura,clientes_activados,total_clientes,total_sku_portafolio,numero_visita_a_clientes_al_mes,visitas_realizadas,expected_total_dinero
2024-07-01,07-2024,RUTA 01," 3,446.62 ",6569266.58,179.0,167.0,74.0,159.0,6.56,21.68,88.0,108.0,215,,,0.0
2024-08-01,08-2024,RUTA 01," 4,185.98 ",7927198.89,194.0,208.0,83.0,177.0,6.56,23.65,90.0,108.0,215,,,6569266.58
2024-09-01,09-2024,RUTA 01," 4,583.58 ",8484408.67,227.0,193.0,75.0,209.0,5.78,21.93,92.0,108.0,215,,,7927198.89
2024-10-01,10-2024,RUTA 01," 4,649.46 ",8674980.7,197.0,255.0,87.0,230.0,5.65,20.22,94.0,108.0,215,,,8484408.67
2024-11-01,11-2024,RUTA 01," 4,287.31 ",8593537.19,178.0,245.0,74.0,165.0,6.36,25.98,93.0,108.0,215,,,8674980.7
2024-12-01,12-2024,RUTA 01," 5,804.37 ",12028405.87,219.0,303.0,95.0,192.0,6.24,30.23,100.0,108.0,215,,,8593537.19
2025-01-01,01-2025,RUTA 01," 3,712.40 ",7667156.86,182.0,200.0,95.0,182.0,5.1,20.4,90.0,108.0,215,,,12028405.87
2025-02-01,02-2025,RUTA 01," 3,196.91 ",7487091.14,182.0,225.0,95.0,147.0,7.06,21.75,95.0,108.0,215,,,7667156.860000001
